Topic,Question,Answer,Label,Tool ,simialrity index,dissimilarity index,accuracy,,,
Digital-to-digital Conversion,What is the primary purpose of digital-to-digital conversion in computer networks?,To convert information into a format suitable for transmission over the network.,In chapter,Gemini Advanced,0.806996895,0.193003105,0.7,,,
Digital-to-digital Conversion,What are the three main techniques used in digital-to-digital conversion?,"Line coding, block coding, and scrambling.",In chapter,Gemini Advanced,0.787211831,0.212788169,0.75,,,
Digital-to-digital Conversion,Which technique is essential and always employed in the digital-to-digital conversion process?,Line coding.,In chapter,Gemini Advanced,0.822112204,0.177887796,0.8,,,
Digital-to-digital Conversion,Why is digital-to-digital conversion crucial for data communication?,It ensures compatibility between the digital data and the digital signals used for transmission.,In chapter,Gemini Advanced,0.803716615,0.196283385,0.5,,,
Digital-to-digital Conversion,What is the key objective of digital-to-digital conversion?,To represent digital data using digital signals for efficient and reliable transmission.,In chapter,Gemini Advanced,0.803914673,0.196085327,0.8,,,
Line Coding,What is the fundamental concept behind line coding?,To convert a sequence of bits into a digital signal.,In chapter,Gemini Advanced,0.820806942,0.179193058,1,,,
Line Coding,What factors influence the choice of a specific line coding scheme?,"Data rate, signal rate, bandwidth, DC components, self-synchronization, and error detection capabilities.",In chapter,Gemini Advanced,0.837102112,0.162897888,0.6,,,
Line Coding,Explain the difference between NRZ-L and NRZ-I line coding schemes.,"In NRZ-L, the voltage level determines the bit value, while in NRZ-I, the change or lack of change in voltage level signifies the bit value.",In chapter,Gemini Advanced,0.803063184,0.196936816,1,,,
Line Coding,What is the primary advantage of Manchester encoding?,"It offers built-in synchronization by ensuring a transition in the middle of each bit, aiding the receiver in maintaining synchronization.",In chapter,Gemini Advanced,0.783931135,0.216068865,0.8,,,
Line Coding,How does the presence of DC components pose challenges in line coding?,DC components can cause problems for systems that cannot pass low frequencies or use electrical coupling.,In chapter,Gemini Advanced,0.796385632,0.203614368,0.9,,,
Block Coding,What is the primary function of block coding in digital transmission?,To introduce redundancy into the digital signal for improved synchronization and error detection.,In chapter,Gemini Advanced,0.800981098,0.199018902,1,,,
Block Coding,Describe the general process of block coding.,"It involves dividing the bit sequence into groups, substituting each group with a corresponding code, and combining the codes into a new stream.",In chapter,Gemini Advanced,0.804027705,0.195972295,0.5,,,
Block Coding,How does the 4B/5B encoding scheme address the limitations of NRZ-I?,"It limits the number of consecutive 0s in the bit stream, preventing the receiver clock from losing synchronization.",In chapter,Gemini Advanced,0.812377348,0.187622652,0.3,,,
Block Coding,What advantages does 8B/10B encoding offer over 4B/5B encoding?,It provides a greater error detection capability and better synchronization due to more redundant bits.,In chapter,Gemini Advanced,0.830810616,0.169189384,0.8,,,
Block Coding,How does block coding contribute to the reliability of digital transmission?,"By adding redundancy, it enables the detection of errors that may occur during transmission, improving the chances of correct data recovery.",In chapter,Gemini Advanced,0.811764995,0.188235005,0.8,,,
Scrambling,What is the main goal of scrambling techniques in digital transmission?,"To prevent long sequences of 0s in the data stream, which can disrupt clock synchronization in some line coding schemes.",In chapter,Gemini Advanced,0.812253299,0.187746701,0.8,,,
Scrambling,Name two commonly used scrambling techniques.,B8ZS (Bipolar with 8-Zero Substitution) and HDB3 (High-Density Bipolar 3-Zero).,In chapter,Gemini Advanced,0.812741603,0.187258397,0,,,
Scrambling,Explain how B8ZS scrambling works.,"It replaces eight consecutive 0s with the sequence '000VB0VB', where 'V' denotes a violation of the AMI rule, and 'B' signifies a valid bipolar pulse.",In chapter,Gemini Advanced,0.813229907,0.186770093,0.75,,0.65-7.5,
Scrambling,What is the key difference between B8ZS and HDB3 scrambling?,"B8ZS substitutes a sequence of eight consecutive zeros, while HDB3 substitutes only four consecutive zeros.",In chapter,Gemini Advanced,0.813718211,0.186281789,0,,,
Scrambling,How does scrambling help maintain synchronization in long-distance communication?,"By breaking up long sequences of 0s, scrambling ensures sufficient transitions in the signal to keep the receiver's clock synchronized with the sender's clock.",In chapter,Gemini Advanced,0.814206516,0.185793484,0.5,,,
Analog-to-digital Conversion,What is the primary purpose of analog-to-digital conversion?,To convert an analog signal into a digital format for use in digital systems.,In chapter,Gemini Advanced,0.81469482,0.18530518,0.7,,,
Analog-to-digital Conversion,What are the two main techniques discussed for analog-to-digital conversion?,Pulse Code Modulation (PCM) and Delta Modulation (DM).,In chapter,Gemini Advanced,0.815183124,0.184816876,0.9,,,
Analog-to-digital Conversion,Describe the three main stages of Pulse Code Modulation (PCM).,"Sampling (measuring the amplitude of the analog signal at regular intervals), quantization (assigning discrete values to the sampled amplitudes), and encoding (representing the quantized values as a series of bits).",In chapter,Gemini Advanced,0.815671428,0.184328572,0.7,,,
Analog-to-digital Conversion,What is the significance of the Nyquist theorem in analog-to-digital conversion?,It defines the minimum sampling rate required to accurately represent an analog signal without loss of information. The sampling rate must be at least twice the highest frequency present in the analog signal.,In chapter,Gemini Advanced,0.816159732,0.183840268,0.5,,,
Analog-to-digital Conversion,How does Delta Modulation (DM) simplify the analog-to-digital conversion process?,"Instead of quantizing the absolute amplitude of each sample, DM quantizes the difference between successive samples, reducing the amount of data needed to represent the signal.",In chapter,Gemini Advanced,0.816648036,0.183351964,0.5,,,
Pulse Code Modulation,What are the three main processes involved in PCM encoding?,"Sampling, quantizing, and encoding.",In chapter,Gemini Advanced,0.817136341,0.182863659,0.5,,,
Pulse Code Modulation,What is the purpose of the Nyquist theorem in PCM?,The Nyquist theorem states that the sampling rate must be at least twice the highest frequency in the original signal to accurately reproduce it.,In chapter,Gemini Advanced,0.817624645,0.182375355,0.5,,,
Pulse Code Modulation,What are the types of sampling in PCM?,"The types of sampling are ideal, natural, and flat-top sampling.",In chapter,Gemini Advanced,0.818112949,0.181887051,0.8,,,
Pulse Code Modulation,What is the purpose of quantization in PCM?,Quantization approximates the continuous amplitude values of the sampled signal into discrete levels for digital representation.,In chapter,Gemini Advanced,0.818601253,0.181398747,0.75,,,
Digital-to-analog Conversion,What is the fundamental purpose of digital-to-analog conversion in communication systems?,Digital-to-analog conversion transforms digital data (sequences of bits) into analog signals for transmission over physical media.,In chapter,Gemini Advanced,0.819089557,0.180910443,0.5,,,
Digital-to-analog Conversion,What are the primary characteristics of a sine wave that can be modified during digital-to-analog conversion?,"Amplitude, frequency, and phase.",In chapter,Gemini Advanced,0.819577861,0.180422139,0.8,,,
Digital-to-analog Conversion,What are the common techniques used for digital-to-analog conversion?,"Amplitude Shift Keying (ASK), Frequency Shift Keying (FSK), Phase Shift Keying (PSK), and Quadrature Amplitude Modulation (QAM).",In chapter,Gemini Advanced,0.820066166,0.179933834,0.7,,,
Digital-to-analog Conversion,"In digital-to-analog conversion, what is the relationship between the bit rate and the baud rate?","The baud rate is less than or equal to the bit rate, as one signal element can carry multiple bits.",In chapter,Gemini Advanced,0.82055447,0.17944553,0.75,,,
Digital-to-analog Conversion,What is the role of a carrier signal in digital-to-analog conversion?,"A high-frequency carrier signal acts as a base for the information signal, and its characteristics (amplitude, frequency, or phase) are modified to represent the digital data.",In chapter,Gemini Advanced,0.821042774,0.178957226,0.8,,,
Amplitude Shift Keying (ASK),How does binary ASK (BASK) represent digital data using an analog signal?,"BASK uses two amplitude levels: one level represents binary 0, and the other represents binary 1.",In chapter,Gemini Advanced,0.821531078,0.178468922,0.8,,,
Amplitude Shift Keying (ASK),How does the bandwidth of an ASK signal relate to its signal rate (baud rate)?,The bandwidth is proportional to the signal rate and is influenced by a factor (d) that depends on the modulation and filtering process.,In chapter,Gemini Advanced,0.822019382,0.177980618,0.9,,,
Amplitude Shift Keying (ASK),What is the advantage of using multilevel ASK compared to binary ASK?,"Multilevel ASK allows for more bits to be transmitted per signal element, increasing the data rate for a given bandwidth.",In chapter,Gemini Advanced,0.822507686,0.177492314,0.5,,,
Amplitude Shift Keying (ASK),How can ASK be implemented using a unipolar NRZ digital signal and a carrier signal?,"By multiplying the NRZ signal with the carrier signal. When the NRZ signal is high, the carrier amplitude is preserved; when the NRZ signal is low, the carrier amplitude is zero.",In chapter,Gemini Advanced,0.822995991,0.177004009,0.7,,,
Amplitude Shift Keying (ASK),What is a key advantage of digital-to-analog conversion techniques like ASK in terms of bandwidth usage?,The resulting bandwidth can be shifted to match the available bandpass channel by choosing an appropriate carrier frequency.,In chapter,Gemini Advanced,0.823484295,0.176515705,0.9,,,
Frequency Shift Keying (FSK),How does binary FSK (BFSK) encode digital data onto an analog carrier signal?,BFSK uses two different carrier frequencies to represent binary 0 and binary 1.,In chapter,Gemini Advanced,0.823972599,0.176027401,0.5,,,-2
Frequency Shift Keying (FSK),What is the minimum frequency separation (2?f) required between the two carrier frequencies in BFSK for proper operation?,The minimum separation should be at least equal to the signal rate (baud rate).,In chapter,Gemini Advanced,0.824460903,0.175539097,0.5,,,
Frequency Shift Keying (FSK),How does the bandwidth requirement of BFSK differ from that of ASK?,The bandwidth of BFSK is greater than that of ASK because it needs to accommodate two carrier frequencies separated by 2?f.,In chapter,Gemini Advanced,0.824949207,0.175050793,0.5,,,
Frequency Shift Keying (FSK),"What are the two implementations of BFSK, and what is the key difference between them?",Noncoherent BFSK (may have phase discontinuities) and coherent BFSK (phase continues through signal element boundaries).,In chapter,Gemini Advanced,0.825437512,0.174562488,0.75,,,
Frequency Shift Keying (FSK),How can multilevel FSK (MFSK) increase the data rate of transmission?,"By using more than two carrier frequencies, MFSK can transmit multiple bits per signal element.",In chapter,Gemini Advanced,0.825925816,0.174074184,0.5,,,
